clip,naive,lr,avg_reward
True,True,0.0809,-802526.5
True,True,0.0809,-817030.5
False,False,0.1818999999999999,-911454.5
True,False,0.1112,-543438.0
True,True,0.0809,-818751.0
True,True,0.0809,-838720.5
True,True,0.1112,-780356.0
True,True,0.1818999999999999,-774676.0
True,True,0.0809,-799076.0
True,False,0.1919999999999999,-573701.5
False,False,0.0809,-990174.5
True,False,0.1919999999999999,-547856.0
True,True,0.1112,-810884.5
False,False,0.0809,-982545.0
False,False,0.1112,-983291.0
False,False,0.0809,-993608.5
False,False,0.1818999999999999,-915880.0
True,True,0.1919999999999999,-753280.0
False,False,0.0809,-982557.0
True,False,0.091,-533584.0
False,False,0.0809,-991768.0
True,True,0.1919999999999999,-734096.5
True,False,0.091,-528916.0
True,False,0.091,-522760.0
True,False,0.1919999999999999,-511938.0
True,False,0.1213,-565847.0
False,False,0.1112,-977126.0
True,False,0.091,-553285.0
False,False,0.1919999999999999,-886357.5
False,False,0.1919999999999999,-851927.5
True,True,0.091,-832516.0
True,False,0.091,-563616.0
True,True,0.091,-784543.5
True,True,0.091,-825425.0
True,True,0.1213,-793386.5
True,True,0.1919999999999999,-756478.0
True,False,0.1213,-537028.0
True,True,0.091,-844712.5
True,False,0.2020999999999999,-515873.0
True,True,0.091,-763388.0
True,False,0.2020999999999999,-580578.5
False,False,0.091,-994595.5
False,False,0.1213,-980574.0
True,True,0.1213,-781575.0
False,False,0.091,-983041.5
False,False,0.091,-984517.0
False,False,0.091,-991151.5
False,False,0.1919999999999999,-868905.5
True,True,0.2020999999999999,-723019.5
True,True,0.2020999999999999,-742686.0
False,False,0.091,-992382.5
True,False,0.1011,-547854.0
False,False,0.1213,-956496.0
True,False,0.1011,-531380.0
True,False,0.1011,-572956.5
True,False,0.1011,-540966.0
True,False,0.1314,-522762.0
False,False,0.2020999999999999,-871599.0
True,False,0.2020999999999999,-537786.0
False,False,0.2020999999999999,-865941.5
True,True,0.1011,-792049.0
True,False,0.1314,-538019.0
True,True,0.1011,-851591.0
True,False,0.1011,-521284.0
True,True,0.1011,-802752.0
True,True,0.1011,-790227.5
True,True,0.1314,-797585.5
True,False,0.2121999999999999,-599032.5
True,True,0.2020999999999999,-707773.0
False,False,0.1011,-991149.0
True,False,0.2121999999999999,-547117.0
False,False,0.1011,-992379.5
True,True,0.1314,-798071.5
False,False,0.1011,-990672.0
False,False,0.1314,-972211.5
True,True,0.1011,-802010.5
False,False,0.1011,-972714.0
True,True,0.2121999999999999,-761152.5
False,False,0.2020999999999999,-897186.5
True,False,0.1112,-565819.0
True,True,0.2121999999999999,-722155.5
False,False,0.1011,-982792.0
True,False,0.1112,-516856.0
False,False,0.1314,-986243.5
True,False,0.1415,-520300.0
True,False,0.1112,-523744.0
True,False,0.1112,-561639.5
False,False,0.2121999999999999,-857586.5
True,False,0.2121999999999999,-565578.0
True,True,0.1112,-848005.5
False,False,0.2121999999999999,-865454.0
True,True,0.1415,-758937.5
True,True,0.1112,-822944.5
True,False,0.1112,-550807.0
True,True,0.1112,-797600.0
True,False,0.1415,-557327.0
True,True,0.1112,-771254.0
True,True,0.2121999999999999,-720188.0
True,False,0.2222999999999999,-551058.0
False,False,0.1112,-980831.0
True,False,0.2222999999999999,-513905.0
False,False,0.1415,-973085.0
False,False,0.1112,-982302.5
True,True,0.1415,-742950.0
False,False,0.1112,-983043.5
False,False,0.1112,-987468.5
True,True,0.2222999999999999,-737771.5
True,True,0.1112,-770761.5
False,False,0.2121999999999999,-861274.5
True,False,0.1213,-524748.0
True,True,0.2222999999999999,-719321.5
True,False,0.1515999999999999,-562138.0
True,False,0.1213,-548596.0
True,False,0.1213,-520792.0
False,False,0.1415,-960901.0
False,False,0.2222999999999999,-841339.5
True,False,0.1213,-552300.0
False,False,0.1112,-973203.0
False,False,0.2222999999999999,-869147.5
True,False,0.2222999999999999,-592136.0
True,True,0.1213,-780368.0
True,True,0.1515999999999999,-741337.0
True,True,0.1213,-766804.5
True,True,0.1213,-823888.0
True,False,0.1515999999999999,-549576.0
True,False,0.2323999999999999,-551422.0
True,False,0.2323999999999999,-819444.5
False,False,0.1213,-977865.5
True,False,0.1213,-555242.0
True,True,0.2222999999999999,-741952.0
True,True,0.1213,-791417.0
False,False,0.1515999999999999,-927937.0
False,False,0.1213,-968042.5
False,False,0.1213,-986352.5
True,True,0.2323999999999999,-742954.5
True,True,0.1515999999999999,-760192.0
True,True,0.2323999999999999,-719194.0
True,True,0.1213,-807184.5
False,False,0.2222999999999999,-825594.0
True,False,0.1616999999999999,-539242.5
True,False,0.1314,-532848.0
False,False,0.1213,-969525.5
True,False,0.1314,-609730.5
False,False,0.1515999999999999,-928328.0
False,False,0.2323999999999999,-864959.5
False,False,0.2323999999999999,-860647.5
True,False,0.2323999999999999,-593862.0
False,False,0.1213,-990661.0
True,False,0.1314,-516856.0
True,True,0.1616999999999999,-770747.0
True,False,0.1314,-567542.5
True,True,0.1314,-811716.0
True,True,0.1314,-796092.0
True,False,0.2425,-596569.5
True,False,0.1616999999999999,-570736.0
True,True,0.2323999999999999,-723991.0
True,False,0.1314,-549826.5
False,False,0.1616999999999999,-913913.0
True,True,0.1314,-793127.0
False,False,0.1314,-950072.5
True,True,0.1314,-774709.5
False,False,0.1314,-956974.5
True,False,0.2425,-585876.5
True,True,0.2425,-726696.5
